"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-06-21,2019-06-21 08:27:00,"4","CT",42.8,44.9,44.4,39.9,37,39.6,0.400556328233657,0.300417246175241,0.100139082058416,1.30180806675939,2.30319888734353,1.80250347705146
2019-06-21,2019-06-21 08:29:00,"5","PN",45.1,41.9,42.4,39.1,36.9,36.8,0,1.00069492703266,1.70118137595552,1.90132036136206,-0.900625434329394,0.700486448922859
2019-06-21,2019-06-21 08:31:00,"6","RM",40.9,44.2,43.4,40.7,37,37.9,1.7,0.899999999999999,0.199999999999996,-3.5,1.6,0.899999999999999
2019-06-21,2019-06-21 08:32:00,"7","CT",43.7,42.8,43.6,39.3,40.3,37.3,0.099930603747392,1.29909784871617,1.69882026370576,0.399722414989596,0.999306037473977,1.19916724496877
2019-06-21,2019-06-21 08:34:00,"8","PN",44.1,44,42.1,37.9,37.3,41,0.599167822468795,0.299583911234394,1.29819694868238,1.59778085991678,0.199722607489601,0.699029126213595
2019-06-21,2019-06-21 08:36:00,"9","RM",43.3,41.1,41.7,38.2,39.3,40,0.0997920997921012,1.29729729729729,0.199584199584202,2.39501039501039,0.399168399168398,0.898128898128904
2019-06-22,2019-06-22 08:48:00,"1","CT",42.3,44.5,43.1,39.5,39.5,39.8,0.884641638225255,0.294880546075083,2.5556313993174,-0.786348122866898,1.86757679180887,0.786348122866898
2019-06-22,2019-06-22 08:48:00,"2","PN",43.1,44.8,43.7,39.1,39.5,41,0,0,0.393442622950818,-1.86885245901639,0.983606557377049,-0.0983606557376993
2019-06-22,2019-06-22 08:49:00,"3","RM",46.4,46.3,42.3,39.5,40.1,37.2,0,0,0.787423103212581,2.85440874914559,0.688995215311,-3.34654818865346
2019-06-22,2019-06-22 08:50:00,"4","CT",43.5,40.7,43,39.9,38.3,40,0,1.27956254272043,0.393711551606287,0.688995215311007,-4.13397129186602,-1.37799043062201
2019-06-22,2019-06-22 08:51:00,"5","PN",42.9,41.4,42.6,41.6,39.2,38.4,2.46238030095759,2.26538987688099,1.57592339261286,-2.16689466484268,-0.492476060191519,0.19699042407661
2019-06-22,2019-06-22 08:52:00,"6","RM",42.8,45.1,43.8,43.2,37.1,37.9,2.46406570841889,0.098562628336757,0,1.87268993839836,0.887063655030799,0.394250513347021
2019-06-22,2019-06-22 08:53:00,"7","CT",42.5,42.5,44.6,41.6,40.7,39.1,2.26694045174538,0.394250513347028,1.77412731006161,-1.18275154004107,-0.295687885010264,0.985626283367556
2019-06-22,2019-06-22 08:54:00,"8","PN",44,45,44.3,38,37.2,41.4,0.0986301369863028,-0.0986301369862958,0.394520547945204,-0.0986301369863028,0.986301369863014,2.16986301369863
2019-06-22,2019-06-22 08:55:00,"9","RM",41.2,41,42.1,40.3,40,40.8,2.0726525017135,0.690884167237837,0.789581905414665,-2.0726525017135,-0.0986977381768348,0.394790952707332
