"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00936","Taxa00936","","","","","","","","","","","","","","","","","","","","",""
"Taxa00937","Taxa00937","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","","",""
"Taxa00938","Taxa00938","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00939","Taxa00939","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00940","Taxa00940","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","","","","","","","","","","","","","",""
"Taxa00941","Taxa00941","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00942","Taxa00942","Eukaryota","","","","","Phaeophyceae","","","","","","","","","","","","","","",""
"Taxa00943","Taxa00943","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00944","Taxa00944","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Aculeata","","Formicoidea","Formicidae","Formicinae","Lasiini","Lasius","Chthonolasius","",""
"Taxa00945","Taxa00945","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00946","Taxa00946","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00947","Taxa00947","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa00948","Taxa00948","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","","","","","","","","","","","","","",""
"Taxa00949","Taxa00949","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","Psocodea","Psocoptera","Psocomorpha","Caeciliusetae","","Caeciliusoidea","Caeciliusidae","","","","","",""
"Taxa00950","Taxa00950","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00951","Taxa00951","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00952","Taxa00952","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00953","Taxa00953","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00954","Taxa00954","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00955","Taxa00955","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00956","Taxa00956","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00957","Taxa00957","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00958","Taxa00958","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00959","Taxa00959","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00960","Taxa00960","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","","","","",""
"Taxa00961","Taxa00961","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","Vexillifera","","",""
"Taxa00962","Taxa00962","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00963","Taxa00963","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00964","Taxa00964","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00965","Taxa00965","Eukaryota","","","","","","","","","","","","","","Histionidae","","","","","",""
"Taxa00966","Taxa00966","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00967","Taxa00967","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00968","Taxa00968","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00969","Taxa00969","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00970","Taxa00970","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00971","Taxa00971","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","","","","","","","",""
"Taxa00972","Taxa00972","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00973","Taxa00973","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","","","","","",""
"Taxa00974","Taxa00974","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00975","Taxa00975","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00976","Taxa00976","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Lutzia","","",""
"Taxa00977","Taxa00977","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00978","Taxa00978","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00979","Taxa00979","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00980","Taxa00980","","","","","","","","","","","","","","","","","","","","",""
"Taxa00981","Taxa00981","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00982","Taxa00982","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00983","Taxa00983","Eukaryota","Fungi","Dikarya","Ascomycota","","Dothideomycetes","Dothideomycetidae","","","Capnodiales","","","","","Mycosphaerellaceae","","","","","",""
"Taxa00984","Taxa00984","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","Encyrtidae","Encyrtinae","","Copidosoma","","",""
"Taxa00985","Taxa00985","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa00986","Taxa00986","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00987","Taxa00987","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00988","Taxa00988","","","","","","","","","","","","","","","","","","","","",""
"Taxa00989","Taxa00989","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","Pterostichini","","","",""
"Taxa00990","Taxa00990","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa00991","Taxa00991","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00992","Taxa00992","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00993","Taxa00993","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00994","Taxa00994","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00995","Taxa00995","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00996","Taxa00996","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00997","Taxa00997","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","","","","","",""
"Taxa00998","Taxa00998","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00999","Taxa00999","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01000","Taxa01000","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01001","Taxa01001","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01002","Taxa01002","Eukaryota","Fungi","Dikarya","Basidiomycota","","Agaricomycetes","Agaricomycetidae","","","Agaricales","","","","","Cortinariaceae","","","Cortinarius","","",""
"Taxa01003","Taxa01003","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa01004","Taxa01004","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01005","Taxa01005","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa01006","Taxa01006","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01007","Taxa01007","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01008","Taxa01008","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa01009","Taxa01009","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","Pterostichini","","","",""
"Taxa01010","Taxa01010","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01011","Taxa01011","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01012","Taxa01012","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa01013","Taxa01013","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01014","Taxa01014","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01015","Taxa01015","Eukaryota","Fungi","Dikarya","Ascomycota","","Leotiomycetes","","","","","","","","","","","","Leohumicola","","",""
"Taxa01016","Taxa01016","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01017","Taxa01017","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa01018","Taxa01018","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Culex","Culex orientalis",""
"Taxa01019","Taxa01019","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01020","Taxa01020","","","","","","","","","","","","","","","","","","","","",""
"Taxa01021","Taxa01021","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01022","Taxa01022","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01023","Taxa01023","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Auchenorrhyncha","Cicadomorpha","","Membracoidea","Cicadellidae","","","","","",""
"Taxa01024","Taxa01024","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01025","Taxa01025","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01026","Taxa01026","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01027","Taxa01027","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","","",""
"Taxa01028","Taxa01028","Eukaryota","","","Rhodophyta","","Florideophyceae","","","","","","","","","","","","","","",""
"Taxa01029","Taxa01029","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01030","Taxa01030","","","","","","","","","","","","","","","","","","","","",""
"Taxa01031","Taxa01031","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa01032","Taxa01032","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","","","","","","","","","","","",""
"Taxa01033","Taxa01033","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01034","Taxa01034","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01035","Taxa01035","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","","","",""
"Taxa01036","Taxa01036","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa01037","Taxa01037","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01038","Taxa01038","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01039","Taxa01039","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Cucujiformia","","Chrysomeloidea","Chrysomelidae","Eumolpinae","","Pseudocolaspis","","",""
"Taxa01040","Taxa01040","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","","","","","","",""
"Taxa01041","Taxa01041","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01042","Taxa01042","","","","","","","","","","","","","","","","","","","","",""
"Taxa01043","Taxa01043","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Tanytarsini","Cladotanytarsus","","Cladotanytarsus vanderwulpi",""
"Taxa01044","Taxa01044","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01045","Taxa01045","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","","",""
"Taxa01046","Taxa01046","Eukaryota","Fungi","Dikarya","Ascomycota","","Sordariomycetes","","","","","","","","","","","","","","",""
"Taxa01047","Taxa01047","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01048","Taxa01048","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Sternorrhyncha","","","Psylloidea","Psyllidae","","","","","",""
"Taxa01049","Taxa01049","","","","","","","","","","","","","","","","","","","","",""
"Taxa01050","Taxa01050","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01051","Taxa01051","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01052","Taxa01052","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01053","Taxa01053","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa01054","Taxa01054","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa01055","Taxa01055","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01056","Taxa01056","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","","","","","",""
"Taxa01057","Taxa01057","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01058","Taxa01058","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Orthocladiinae","","Cricotopus","","Cricotopus tricinctus",""
"Taxa01059","Taxa01059","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01060","Taxa01060","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01061","Taxa01061","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa01062","Taxa01062","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01063","Taxa01063","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa01064","Taxa01064","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01065","Taxa01065","Eukaryota","Metazoa","","Chordata","Sarcopterygii","Mammalia","","","Euarchontoglires","Rodentia","Myomorpha","","","","Muridae","Murinae","","Mus","Mus","Mus musculus",""
"Taxa01066","Taxa01066","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa01067","Taxa01067","","","","","","","","","","","","","","","","","","","","",""
"Taxa01068","Taxa01068","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","Bodo","","Bodo saltans",""
"Taxa01069","Taxa01069","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01070","Taxa01070","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01071","Taxa01071","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01072","Taxa01072","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01073","Taxa01073","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01074","Taxa01074","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01075","Taxa01075","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01076","Taxa01076","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01077","Taxa01077","","","","","","","","","","","","","","","","","","","","",""
"Taxa01078","Taxa01078","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","","","","","","","",""
"Taxa01079","Taxa01079","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Scarabaeiformia","","Scarabaeoidea","Scarabaeidae","Rutelinae","","","","",""
"Taxa01080","Taxa01080","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01081","Taxa01081","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01082","Taxa01082","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa01083","Taxa01083","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01084","Taxa01084","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","","","","","",""
"Taxa01085","Taxa01085","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","","Baetidae","","","Cloeon","","",""
"Taxa01086","Taxa01086","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa01087","Taxa01087","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa01088","Taxa01088","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01089","Taxa01089","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01090","Taxa01090","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01091","Taxa01091","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Auchenorrhyncha","Cicadomorpha","","Membracoidea","Cicadellidae","Macropsinae","","Macropsis","","",""
"Taxa01092","Taxa01092","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","","","","","","",""
"Taxa01093","Taxa01093","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa01094","Taxa01094","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01095","Taxa01095","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01096","Taxa01096","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01097","Taxa01097","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01098","Taxa01098","","","","","","","","","","","","","","","","","","","","",""
"Taxa01099","Taxa01099","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa01100","Taxa01100","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01101","Taxa01101","Eukaryota","","","Bacillariophyta","","Bacillariophyceae","","","","Bacillariales","","","","","Bacillariaceae","","","Nitzschia","","Nitzschia palea",""
"Taxa01102","Taxa01102","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01103","Taxa01103","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01104","Taxa01104","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01105","Taxa01105","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01106","Taxa01106","Eukaryota","Fungi","","Chytridiomycota","","Monoblepharidomycetes","","","","Monoblepharidales","","","","","","","","","","",""
"Taxa01107","Taxa01107","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01108","Taxa01108","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01109","Taxa01109","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01110","Taxa01110","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01111","Taxa01111","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa01112","Taxa01112","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01113","Taxa01113","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01114","Taxa01114","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01115","Taxa01115","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","","","","","","",""
"Taxa01116","Taxa01116","Eukaryota","Fungi","Dikarya","Ascomycota","","Sordariomycetes","Sordariomycetidae","","","Ophiostomatales","","","","","Ophiostomataceae","","","","","",""
"Taxa01117","Taxa01117","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01118","Taxa01118","","","","","","","","","","","","","","","","","","","","",""
"Taxa01119","Taxa01119","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa01120","Taxa01120","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01121","Taxa01121","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","Harpalinae","","","","",""
"Taxa01122","Taxa01122","Eukaryota","","","","","Heterolobosea","","","","Schizopyrenida","","","","","Vahlkampfiidae","","","Naegleria","","",""
"Taxa01123","Taxa01123","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa01124","Taxa01124","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01125","Taxa01125","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01126","Taxa01126","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa01127","Taxa01127","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01128","Taxa01128","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","","","","","","","","","",""
"Taxa01129","Taxa01129","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01130","Taxa01130","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01131","Taxa01131","Eukaryota","","","","","","Myxogastromycetidae","","","Physariida","","","","","","","","","","",""
"Taxa01132","Taxa01132","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01133","Taxa01133","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01134","Taxa01134","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01135","Taxa01135","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01136","Taxa01136","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01137","Taxa01137","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01138","Taxa01138","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01139","Taxa01139","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Parasitoida","","Chalcidoidea","","","","","","",""
"Taxa01140","Taxa01140","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Ensifera","Tettigoniidea","","Tettigonioidea","Tettigoniidae","Conocephalinae","Copiphorini","Ruspolia","","Ruspolia lineosa",""
"Taxa01141","Taxa01141","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa01142","Taxa01142","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01143","Taxa01143","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01144","Taxa01144","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01145","Taxa01145","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01146","Taxa01146","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa01147","Taxa01147","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa01148","Taxa01148","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01149","Taxa01149","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa01150","Taxa01150","","","","","","","","","","","","","","","","","","","","",""
"Taxa01151","Taxa01151","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01152","Taxa01152","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa01153","Taxa01153","Eukaryota","Metazoa","","Arthropoda","","Arachnida","","","","Araneae","Araneomorphae","","","Araneoidea","Linyphiidae","Erigoninae","","Ummeliata","","Ummeliata insecticeps",""
"Taxa01154","Taxa01154","Eukaryota","","","","","","","","","","","","","","","","","","","",""
